"","Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24","Year","EV","HardH%"
"327","Tampa Bay Rays",".244",".308",".404",".711",".280","2.9%","19.5%","7.8%","18.4%","40.5%","31.2%","0.70","7.7","7.9%","56.3",2010,NA,NA
"328","Texas Rangers",".246",".319",".390",".709",".283","2.6%","19.0%","8.9%","17.7%","40.6%","31.3%","0.71","5.9","5.0%","63.5",2010,NA,NA
"329","Toronto Blue Jays",".255",".326",".405",".731",".299","2.4%","19.2%","8.7%","19.2%","45.0%","26.8%","0.84","1.8","-0.5%","-8.4",2010,NA,NA
"330","Washington Nationals",".266",".330",".410",".740",".302","2.4%","17.2%","8.2%","20.7%","42.8%","26.5%","0.78","-6.4","-2.1%","-48.8",2010,NA,NA
"331","Arizona Diamondbacks",".257",".316",".409",".725",".290","2.6%","17.3%","7.2%","18.0%","41.0%","30.1%","0.73","5.6","3.3%","9.6",2011,NA,NA
"332","Atlanta Braves",".240",".310",".361",".671",".293","2.0%","21.4%","8.4%","16.4%","46.7%","28.4%","0.92","11.3","10.3%","73.0",2011,NA,NA
"333","Baltimore Orioles",".277",".341",".460",".801",".305","3.3%","16.5%","8.5%","17.1%","43.0%","31.2%","0.78","-9.7","-1.1%","-131.9",2011,NA,NA
"334","Boston Red Sox",".247",".322",".392",".714",".288","2.5%","19.4%","8.7%","16.3%","41.6%","30.9%","0.74","3.3","0.2%","9.2",2011,NA,NA
"335","Chicago Cubs",".262",".335",".413",".748",".307","2.6%","19.6%","9.3%","19.9%","42.1%","27.0%","0.77","-10.3","-3.3%","-92.9",2011,NA,NA
"336","Chicago White Sox",".261",".317",".397",".714",".306","2.4%","19.7%","7.1%","19.6%","43.7%","26.7%","0.81","8.2","3.1%","40.5",2011,NA,NA
"337","Cincinnati Reds",".255",".325",".415",".740",".286","3.0%","17.8%","8.6%","18.6%","44.2%","27.5%","0.83","-6.0","-3.3%","-40.9",2011,NA,NA
"338","Cleveland Indians",".263",".323",".413",".737",".295","2.5%","16.4%","7.4%","19.0%","45.2%","26.8%","0.85","0.7","2.2%","-59.6",2011,NA,NA
"339","Colorado Rockies",".265",".331",".431",".763",".301","2.8%","18.0%","8.4%","18.1%","45.5%","27.1%","0.87","-4.1","-1.4%","-51.4",2011,NA,NA
"340","Detroit Tigers",".257",".321",".396",".717",".295","2.4%","18.3%","8.1%","18.0%","44.4%","28.7%","0.82","7.0","5.0%","9.8",2011,NA,NA
"341","Florida Marlins",".253",".316",".401",".718",".297","2.4%","19.7%","8.1%","19.5%","43.8%","26.7%","0.82","-3.6","-1.7%","-34.1",2011,NA,NA
"342","Houston Astros",".266",".337",".432",".770",".307","3.0%","19.0%","8.9%","19.4%","42.7%","28.2%","0.78","-16.6","-3.2%","-150.4",2011,NA,NA
"343","Kansas City Royals",".267",".337",".425",".762",".303","2.6%","17.2%","8.9%","17.2%","43.4%","29.6%","0.80","-6.6","-1.8%","-41.7",2011,NA,NA
"344","Los Angeles Angels of Anaheim",".251",".313",".388",".700",".285","2.3%","17.3%","7.8%","15.9%","44.4%","30.2%","0.83","8.2","5.4%","63.4",2011,NA,NA
"345","Los Angeles Dodgers",".241",".310",".371",".681",".290","2.2%","21.1%","8.5%","17.6%","42.3%","28.6%","0.77","4.1","-1.5%","32.3",2011,NA,NA
"346","Milwaukee Brewers",".246",".304",".385",".689",".292","2.4%","20.8%","7.3%","19.2%","44.2%","27.5%","0.83","4.8","2.5%","35.8",2011,NA,NA
"347","Minnesota Twins",".281",".340",".435",".775",".310","2.6%","15.1%","7.7%","17.0%","43.9%","29.9%","0.81","-9.2","-1.3%","-100.1",2011,NA,NA
"348","New York Mets",".265",".332",".411",".743",".306","2.3%","17.8%","8.1%","17.2%","45.2%","27.1%","0.88","-10.2","-2.7%","-87.9",2011,NA,NA
"349","New York Yankees",".256",".322",".399",".721",".300","2.5%","19.7%","8.2%","18.9%","44.3%","28.1%","0.82","10.9","8.3%","86.5",2011,NA,NA
"350","Oakland Athletics",".250",".317",".378",".696",".292","2.2%","18.8%","8.4%","18.8%","43.4%","26.9%","0.79","4.6","2.3%","29.7",2011,NA,NA
"351","Philadelphia Phillies",".240",".296",".361",".657",".292","2.0%","21.4%","6.7%","17.7%","45.7%","24.7%","0.89","18.8","10.8%","147.7",2011,NA,NA
"352","Pittsburgh Pirates",".270",".338",".409",".747",".305","2.4%","16.3%","8.5%","19.0%","44.9%","26.5%","0.86","-6.0","0.6%","-66.3",2011,NA,NA
"353","San Diego Padres",".245",".314",".375",".689",".287","2.1%","18.8%","8.6%","18.4%","43.4%","27.6%","0.81","2.9","0.7%","31.4",2011,NA,NA
"354","Seattle Mariners",".251",".310",".386",".696",".287","2.4%","18.1%","7.3%","18.9%","43.4%","28.0%","0.80","-1.4","2.0%","-0.3",2011,NA,NA
"355","San Francisco Giants",".232",".309",".346",".655",".288","1.6%","21.5%","9.1%","17.7%","45.6%","26.7%","0.89","10.4","7.9%","69.2",2011,NA,NA
"356","St. Louis Cardinals",".261",".319",".398",".717",".300","2.2%","17.7%","7.2%","19.6%","46.7%","25.3%","0.92","-5.8","-8.0%","-31.2",2011,NA,NA
"357","Tampa Bay Rays",".234",".303",".383",".686",".267","2.7%","19.0%","8.4%","17.4%","41.6%","30.3%","0.73","6.3","5.1%","83.2",2011,NA,NA
"358","Texas Rangers",".244",".307",".392",".698",".280","2.8%","19.6%","7.7%","17.5%","42.5%","29.6%","0.77","6.8","5.5%","66.5",2011,NA,NA
"359","Toronto Blue Jays",".256",".328",".419",".747",".293","2.9%","18.6%","8.6%","18.8%","43.6%","28.5%","0.80","-0.7","-0.4%","-20.1",2011,NA,NA
"360","Washington Nationals",".256",".319",".382",".701",".293","2.1%","17.1%","7.8%","19.8%","43.5%","26.9%","0.81","4.8","0.1%","19.0",2011,NA,NA
"361","Arizona Diamondbacks",".261",".317",".415",".732",".306","2.6%","19.8%","6.9%","18.2%","44.8%","27.6%","0.86","-1.1","-0.5%","2.6",2012,NA,NA
"362","Atlanta Braves",".243",".306",".378",".684",".288","2.4%","20.6%","7.7%","18.5%","46.1%","27.4%","0.90","10.7","5.4%","95.6",2012,NA,NA
"363","Baltimore Orioles",".252",".315",".403",".718",".287","2.9%","18.8%","7.7%","17.6%","44.4%","28.6%","0.83","11.9","13.2%","34.4",2012,NA,NA
"364","Boston Red Sox",".262",".331",".428",".759",".298","3.1%","18.9%","8.5%","18.5%","46.1%","27.0%","0.88","-10.1","-2.6%","-81.4",2012,NA,NA
"365","Chicago Cubs",".259",".335",".424",".759",".296","2.9%","18.4%","9.3%","19.8%","42.6%","27.5%","0.78","-10.1","-1.6%","-86.6",2012,NA,NA
"366","Chicago White Sox",".250",".319",".405",".724",".290","3.1%","20.4%","8.3%","19.4%","42.4%","28.8%","0.76","3.5","0.9%","50.8",2012,NA,NA
"367","Cincinnati Reds",".247",".305",".390",".695",".291","2.5%","20.6%","7.1%","19.7%","45.2%","25.5%","0.85","12.0","6.2%","109.9",2012,NA,NA
"368","Cleveland Indians",".268",".336",".430",".766",".302","2.8%","17.3%","8.6%","19.0%","45.6%","27.2%","0.86","-10.4","-3.6%","-153.4",2012,NA,NA
"369","Colorado Rockies",".290",".357",".470",".827",".331","3.1%","17.9%","8.9%","21.8%","43.7%","25.1%","0.82","-16.3","-3.6%","-160.4",2012,NA,NA
"370","Detroit Tigers",".256",".314",".402",".716",".310","2.5%","21.8%","7.3%","18.6%","43.4%","27.8%","0.79","4.8","6.2%","53.8",2012,NA,NA
"371","Houston Astros",".270",".337",".427",".765",".312","2.8%","18.8%","8.7%","18.2%","46.7%","26.0%","0.92","-12.4","-1.4%","-119.4",2012,NA,NA
"372","Kansas City Royals",".270",".339",".423",".762",".314","2.6%","18.8%","8.7%","18.0%","42.6%","29.3%","0.77","-0.7","-0.9%","-24.4",2012,NA,NA
"373","Los Angeles Angels of Anaheim",".246",".310",".403",".713",".279","3.1%","19.2%","8.0%","17.1%","43.8%","30.0%","0.80","-0.9","-3.0%","-13.0",2012,NA,NA
"374","Los Angeles Dodgers",".238",".310",".364",".675",".288","2.0%","21.0%","8.9%","18.0%","44.6%","26.7%","0.85","8.1","4.8%","74.2",2012,NA,NA
"375","Miami Marlins",".263",".327",".399",".726",".305","2.2%","18.0%","8.0%","20.3%","43.8%","26.6%","0.82","-4.1","-0.2%","-34.0",2012,NA,NA
"376","Milwaukee Brewers",".261",".326",".414",".740",".318","2.7%","22.5%","8.4%","21.3%","43.3%","27.0%","0.80","-4.6","-1.9%","-30.6",2012,NA,NA
"377","Minnesota Twins",".274",".333",".442",".775",".296","3.2%","15.2%","7.5%","17.4%","45.7%","28.8%","0.86","-10.8","-2.5%","-128.8",2012,NA,NA
"378","New York Mets",".251",".315",".401",".716",".295","2.7%","20.4%","8.0%","18.6%","41.7%","28.3%","0.75","-6.0","-5.5%","-42.9",2012,NA,NA
"379","New York Yankees",".253",".311",".419",".730",".298","3.1%","21.7%","7.1%","18.6%","44.7%","27.2%","0.83","5.4","5.9%","58.6",2012,NA,NA
"380","Oakland Athletics",".245",".306",".378",".684",".282","2.4%","18.5%","7.5%","19.4%","41.3%","28.1%","0.73","12.0","8.8%","93.0",2012,NA,NA
"381","Philadelphia Phillies",".251",".306",".407",".713",".303","2.9%","22.8%","6.7%","18.8%","42.3%","28.2%","0.77","0.6","-1.0%","15.8",2012,NA,NA
"382","Pittsburgh Pirates",".249",".314",".390",".703",".290","2.5%","19.6%","8.0%","18.6%","45.8%","27.0%","0.89","0.6","-0.1%","-7.9",2012,NA,NA
"383","San Diego Padres",".248",".319",".398",".718",".289","2.6%","19.6%","8.8%","17.9%","46.5%","26.1%","0.91","-4.7","-1.1%","-61.7",2012,NA,NA
"384","Seattle Mariners",".248",".308",".394",".702",".284","2.7%","19.2%","7.4%","19.1%","42.5%","28.5%","0.77","4.9","-0.5%","35.3",2012,NA,NA
"385","San Francisco Giants",".248",".313",".393",".706",".294","2.3%","20.2%","8.0%","18.7%","44.6%","27.1%","0.85","3.9","3.1%","1.6",2012,NA,NA
"386","St. Louis Cardinals",".255",".313",".387",".700",".302","2.2%","19.8%","7.1%","19.4%","47.6%","24.4%","0.96","2.6","0.7%","39.6",2012,NA,NA
"387","Tampa Bay Rays",".228",".294",".352",".646",".279","2.3%","23.1%","7.8%","16.8%","47.7%","26.6%","0.94","14.0","8.9%","129.6",2012,NA,NA
"388","Texas Rangers",".250",".309",".408",".716",".294","2.9%","21.2%","7.4%","19.1%","43.7%","27.9%","0.79","8.9","0.5%","29.9",2012,NA,NA
"389","Toronto Blue Jays",".261",".335",".438",".772",".294","3.3%","18.4%","9.2%","18.9%","45.8%","25.8%","0.88","-3.6","-2.3%","-61.7",2012,NA,NA
"390","Washington Nationals",".237",".303",".373",".676",".287","2.1%","21.6%","8.1%","19.6%","44.7%","26.4%","0.86","11.1","7.9%","109.3",2012,NA,NA
"391","Arizona Diamondbacks",".257",".320",".411",".731",".296","2.8%","19.2%","7.7%","24.0%","45.3%","21.4%","0.87","-0.5","-1.5%","-28.8",2013,NA,NA
"392","Atlanta Braves",".244",".301",".370",".671",".292","2.1%","20.6%","6.8%","23.1%","45.2%","23.0%","0.86","9.4","3.6%","101.5",2013,NA,NA
"393","Baltimore Orioles",".259",".321",".428",".749",".293","3.3%","19.0%","7.7%","22.4%","42.1%","25.9%","0.76","-3.8","-3.2%","-4.0",2013,NA,NA
"394","Boston Red Sox",".248",".316",".393",".710",".295","2.5%","21.1%","8.5%","21.8%","42.7%","26.2%","0.77","4.8","4.6%","53.0",2013,NA,NA
"395","Chicago Cubs",".244",".318",".400",".718",".283","2.6%","19.3%","8.8%","23.0%","42.1%","25.1%","0.76","-7.6","-1.9%","-40.8",2013,NA,NA
"396","Chicago White Sox",".256",".322",".408",".730",".297","2.9%","20.1%","8.2%","21.2%","43.4%","25.8%","0.79","-2.4","0.4%","-12.3",2013,NA,NA
"397","Cincinnati Reds",".236",".298",".384",".683",".278","2.8%","21.3%","7.2%","26.5%","43.7%","20.4%","0.81","8.3","5.6%","69.4",2013,NA,NA
"398","Cleveland Indians",".249",".322",".386",".708",".305","2.4%","22.4%","9.0%","23.4%","44.3%","23.4%","0.83","3.2","1.5%","17.9",2013,NA,NA
"399","Colorado Rockies",".277",".340",".423",".763",".318","2.2%","17.0%","8.3%","25.1%","46.6%","20.4%","0.91","-5.5","-2.0%","-69.7",2013,NA,NA
"400","Detroit Tigers",".247",".308",".373",".681",".308","2.1%","23.3%","7.6%","20.9%","45.3%","25.0%","0.86","8.3","6.2%","85.8",2013,NA,NA
"401","Houston Astros",".272",".347",".445",".792",".305","3.0%","17.0%","9.7%","21.7%","44.0%","24.9%","0.81","-14.2","-2.0%","-162.6",2013,NA,NA
"402","Kansas City Royals",".250",".311",".387",".699",".292","2.6%","20.0%","7.8%","23.1%","41.7%","26.3%","0.73","9.8","2.2%","107.2",2013,NA,NA
"403","Los Angeles Angels of Anaheim",".261",".328",".408",".736",".303","2.7%","19.1%","8.5%","23.7%","41.7%","24.9%","0.74","-5.3","-2.0%","-58.6",2013,NA,NA
"404","Los Angeles Dodgers",".243",".306",".365",".670",".295","2.1%","21.4%","7.6%","23.6%","46.9%","20.6%","0.92","8.0","5.5%","50.3",2013,NA,NA
"405","Miami Marlins",".251",".319",".384",".703",".297","2.0%","19.1%","8.5%","22.8%","44.8%","23.9%","0.85","2.6","-0.7%","6.5",2013,NA,NA
"406","Milwaukee Brewers",".255",".317",".397",".713",".290","2.9%","18.4%","7.6%","23.5%","44.3%","23.4%","0.83","-8.0","-3.6%","-37.1",2013,NA,NA
"407","Minnesota Twins",".280",".336",".434",".770",".311","2.7%","15.7%","7.3%","22.3%","43.8%","25.1%","0.80","-7.9","-2.2%","-86.6",2013,NA,NA
"408","New York Mets",".256",".316",".393",".709",".299","2.4%","19.4%","7.3%","21.6%","44.1%","25.0%","0.83","-3.5","-2.8%","-47.7",2013,NA,NA
"409","New York Yankees",".261",".318",".413",".731",".305","2.8%","20.1%","7.1%","21.9%","44.1%","26.3%","0.81","6.9","2.9%","25.6",2013,NA,NA
"410","Oakland Athletics",".242",".299",".379",".678",".278","2.7%","19.5%","7.1%","23.1%","39.3%","26.6%","0.67","8.4","6.8%","63.2",2013,NA,NA
"411","Philadelphia Phillies",".265",".331",".415",".746",".310","2.5%","19.3%","8.1%","23.0%","44.1%","22.7%","0.83","-5.1","-1.8%","-114.4",2013,NA,NA
"412","Pittsburgh Pirates",".238",".309",".341",".650",".289","1.6%","20.5%","8.4%","21.9%","52.0%","19.1%","1.14","13.2","8.4%","59.1",2013,NA,NA
"413","San Diego Padres",".255",".322",".403",".725",".296","2.5%","19.0%","8.5%","23.4%","45.0%","23.1%","0.86","-4.7","-3.4%","-81.7",2013,NA,NA
"414","Seattle Mariners",".259",".319",".417",".736",".305","2.8%","20.7%","7.6%","23.7%","45.2%","23.2%","0.85","-4.4","-0.8%","-87.6",2013,NA,NA
"415","San Francisco Giants",".251",".320",".390",".710",".299","2.4%","20.4%","8.5%","25.8%","41.5%","23.0%","0.74","-8.1","-5.1%","-73.9",2013,NA,NA
"416","St. Louis Cardinals",".249",".311",".368",".680",".301","1.8%","20.5%","7.4%","23.2%","47.7%","20.8%","0.96","7.4","6.5%","56.6",2013,NA,NA
"417","Tampa Bay Rays",".240",".305",".381",".686",".286","2.5%","21.5%","7.9%","22.2%","44.8%","24.3%","0.83","5.2","8.1%","50.9",2013,NA,NA
"418","Texas Rangers",".248",".313",".387",".701",".296","2.6%","21.3%","8.1%","25.0%","42.9%","23.4%","0.77","9.3","8.0%","74.1",2013,NA,NA
"419","Toronto Blue Jays",".259",".324",".426",".750",".295","3.1%","19.3%","8.0%","21.6%","44.5%","25.2%","0.82","-5.7","-1.9%","-54.4",2013,NA,NA
"420","Washington Nationals",".249",".305",".379",".683",".296","2.4%","20.5%","6.7%","23.9%","43.9%","21.8%","0.82","4.4","0.8%","24.8",2013,NA,NA
"421","Arizona Diamondbacks",".265",".326",".414",".740",".316","2.5%","20.7%","7.6%","26.7%","45.3%","19.8%","0.86","-9.9","-2.7%","-100.1",2014,NA,NA
"422","Atlanta Braves",".251",".312",".370",".682",".306","2.0%","21.4%","7.8%","25.3%","42.1%","22.8%","0.77","6.6","4.7%","38.1",2014,NA,NA
"423","Baltimore Orioles",".244",".308",".382",".690",".282","2.5%","19.2%","7.7%","23.1%","43.9%","23.8%","0.81","12.3","9.2%","94.6",2014,NA,NA
"424","Boston Red Sox",".260",".321",".409",".730",".303","2.5%","19.5%","7.7%","23.3%","43.5%","23.7%","0.80","-1.3","0.3%","-26.0",2014,NA,NA
"425","Chicago Cubs",".252",".318",".376",".694",".308","1.9%","21.1%","8.1%","26.1%","43.9%","20.8%","0.82","-0.6","-0.8%","-55.1",2014,NA,NA
"426","Chicago White Sox",".265",".337",".401",".738",".309","2.2%","18.4%","8.9%","23.3%","46.2%","22.4%","0.89","-11.5","-5.4%","-101.7",2014,NA,NA
"427","Cincinnati Reds",".237",".309",".383",".691",".281","2.7%","21.3%","8.4%","26.9%","44.6%","18.6%","0.84","4.1","0.9%","25.5",2014,NA,NA
"428","Cleveland Indians",".250",".312",".385",".697",".312","2.2%","23.4%","7.5%","24.1%","46.8%","21.1%","0.91","5.1","0.2%","36.0",2014,NA,NA
"429","Colorado Rockies",".276",".342",".443",".784",".311","2.8%","17.2%","8.5%","26.8%","47.3%","18.6%","0.94","-17.3","-5.8%","-136.6",2014,NA,NA
"430","Detroit Tigers",".263",".321",".401",".723",".314","2.1%","20.1%","7.5%","22.4%","44.6%","24.3%","0.83","2.4","4.0%","-30.9",2014,NA,NA
"431","Houston Astros",".260",".323",".396",".719",".302","2.3%","18.5%","7.9%","23.2%","46.7%","21.8%","0.91","-5.7","-1.0%","-61.1",2014,NA,NA
"432","Kansas City Royals",".250",".310",".377",".687",".294","2.1%","19.1%","7.2%","23.7%","43.1%","24.4%","0.78","10.6","8.7%","59.8",2014,NA,NA
"433","Los Angeles Angels of Anaheim",".236",".305",".351",".656",".287","2.0%","21.7%","8.2%","23.6%","42.0%","24.7%","0.75","7.4","4.9%","36.3",2014,NA,NA
"434","Los Angeles Dodgers",".242",".300",".376",".676",".296","2.3%","22.6%","7.1%","24.4%","47.5%","19.6%","0.94","6.1","5.6%","20.1",2014,NA,NA
"435","Miami Marlins",".264",".323",".390",".713",".315","1.8%","19.1%","7.4%","25.8%","46.5%","19.7%","0.92","-2.2","-1.8%","-30.3",2014,NA,NA
"436","Milwaukee Brewers",".250",".307",".393",".700",".293","2.7%","20.4%","7.1%","24.4%","45.4%","21.4%","0.87","2.3","0.0%","-1.8",2014,NA,NA
"437","Minnesota Twins",".280",".330",".428",".758",".317","2.4%","16.6%","6.6%","25.0%","42.2%","23.3%","0.75","-11.6","-2.5%","-104.8",2014,NA,NA
"438","New York Mets",".248",".315",".382",".698",".299","2.3%","21.1%","8.3%","24.3%","45.3%","22.3%","0.87","0.3","-1.2%","7.3",2014,NA,NA
"439","New York Yankees",".250",".305",".395",".700",".301","2.7%","22.4%","6.5%","24.1%","44.0%","23.8%","0.81","6.0","2.4%","7.0",2014,NA,NA
"440","Oakland Athletics",".233",".290",".356",".646",".274","2.5%","20.8%","6.8%","24.4%","45.5%","20.9%","0.86","5.6","5.3%","96.6",2014,NA,NA
"441","Philadelphia Phillies",".252",".321",".387",".708",".300","2.1%","20.0%","8.3%","24.8%","46.1%","20.4%","0.90","-0.8","-1.1%","-37.9",2014,NA,NA
"442","Pittsburgh Pirates",".247",".318",".371",".689",".295","2.1%","20.0%","8.1%","23.4%","49.8%","18.2%","1.06","2.2","0.8%","10.4",2014,NA,NA
"443","San Diego Padres",".241",".304",".362",".666",".294","2.0%","21.4%","7.7%","25.7%","44.8%","21.2%","0.86","5.4","0.6%","36.4",2014,NA,NA
"444","Seattle Mariners",".230",".295",".356",".652",".277","2.3%","22.1%","7.8%","24.2%","45.8%","21.1%","0.87","11.7","7.1%","96.8",2014,NA,NA
"445","San Francisco Giants",".241",".297",".382",".679",".285","2.2%","20.4%","6.5%","25.1%","45.7%","20.8%","0.87","1.5","0.7%","13.7",2014,NA,NA
"446","St. Louis Cardinals",".242",".308",".366",".674",".289","2.0%","20.1%","7.7%","24.7%","45.0%","19.9%","0.87","9.8","8.7%","38.9",2014,NA,NA
"447","Tampa Bay Rays",".234",".300",".362",".662",".288","2.4%","23.4%","7.9%","23.1%","40.8%","26.1%","0.71","4.5","-0.3%","41.4",2014,NA,NA
"448","Texas Rangers",".272",".336",".428",".764",".311","2.6%","17.9%","8.2%","26.4%","39.7%","23.9%","0.67","-6.3","-2.7%","-103.9",2014,NA,NA
"449","Toronto Blue Jays",".253",".318",".407",".724",".295","2.5%","19.5%","8.0%","23.3%","43.1%","24.5%","0.78","0.0","-0.7%","-18.4",2014,NA,NA
"450","Washington Nationals",".244",".294",".358",".651",".298","1.8%","21.4%","5.9%","26.2%","44.1%","20.2%","0.83","11.4","7.2%","106.5",2014,NA,NA
"451","Arizona Diamondbacks",".258",".322",".423",".744",".297","2.9%","19.4%","8.0%","28.2%","45.3%","18.4%","0.87","0.0","-1.5%","-14.6",2015,"89.5","41.3%"
"452","Atlanta Braves",".268",".339",".426",".765",".309","2.8%","18.7%","8.9%","26.6%","42.9%","21.8%","0.78","-7.1","-1.2%","-110.7",2015,"89.0","39.7%"
"453","Baltimore Orioles",".257",".321",".418",".739",".299","2.9%","20.3%","7.9%","24.7%","45.6%","20.5%","0.86","3.7","0.8%","7.0",2015,"89.1","39.0%"
"454","Boston Red Sox",".264",".327",".424",".751",".307","2.9%","19.6%","7.7%","25.2%","44.3%","22.3%","0.82","0.4","-0.3%","-28.7",2015,"88.3","37.4%"
"455","Chicago Cubs",".233",".290",".372",".662",".290","2.2%","23.9%","6.8%","26.9%","46.4%","18.6%","0.90","11.0","4.6%","62.4",2015,"88.3","36.3%"
"456","Chicago White Sox",".260",".322",".410",".733",".314","2.6%","22.0%","7.7%","26.8%","44.8%","19.7%","0.84","3.4","-0.1%","-9.0",2015,"87.9","37.1%"
"457","Cincinnati Reds",".258",".328",".420",".748",".301","2.8%","20.0%","8.7%","29.8%","43.8%","17.9%","0.82","-5.9","-0.2%","-84.2",2015,"88.3","38.3%"
"458","Cleveland Indians",".237",".297",".386",".683",".290","2.7%","23.8%","7.2%","26.4%","44.7%","21.2%","0.83","7.1","0.3%","76.8",2015,"88.9","38.5%"
"459","Colorado Rockies",".283",".353",".461",".814",".323","2.9%","17.6%","9.2%","28.2%","47.4%","16.8%","0.94","-15.1","-3.4%","-130.0",2015,"88.8","40.2%"
"460","Detroit Tigers",".268",".330",".444",".774",".301","3.1%","17.8%","7.9%","24.7%","43.0%","22.1%","0.78","-5.3","-0.5%","-105.0",2015,"89.0","39.1%"
"461","Houston Astros",".241",".299",".382",".681",".287","2.5%","21.5%","7.1%","25.1%","47.2%","19.9%","0.92","3.8","1.1%","68.4",2015,"87.5","34.3%"
"462","Kansas City Royals",".249",".314",".396",".710",".288","2.5%","19.0%","8.0%","25.3%","42.7%","23.1%","0.77","9.3","7.0%","76.3",2015,"88.5","38.3%"
"463","Los Angeles Angels of Anaheim",".248",".313",".396",".708",".288","2.7%","20.0%","7.6%","26.6%","41.5%","21.6%","0.73","4.6","1.3%","2.3",2015,"88.4","37.1%"
"464","Los Angeles Dodgers",".242",".297",".372",".669",".299","2.4%","23.5%","6.7%","25.6%","49.8%","16.6%","1.04","7.8","6.9%","57.7",2015,"87.5","34.5%"
"465","Miami Marlins",".255",".322",".396",".718",".297","2.3%","19.0%","8.4%","27.2%","44.4%","19.8%","0.83","-6.3","-2.1%","-29.9",2015,"88.8","38.7%"
"466","Milwaukee Brewers",".261",".329",".422",".750",".307","2.9%","20.5%","8.4%","28.8%","46.0%","17.3%","0.89","-6.2","-1.5%","-70.3",2015,"88.1","37.8%"
"467","Minnesota Twins",".269",".321",".418",".739",".303","2.7%","17.0%","6.7%","25.8%","44.1%","21.3%","0.82","3.6","1.6%","0.7",2015,"89.0","40.6%"
"468","New York Mets",".243",".296",".377",".672",".292","2.5%","22.1%","6.3%","24.7%","45.8%","20.9%","0.89","8.8","7.4%","53.3",2015,"87.9","35.1%"
"469","New York Yankees",".253",".316",".406",".722",".303","2.9%","22.1%","7.7%","25.0%","47.2%","20.0%","0.92","7.7","6.6%","13.2",2015,"88.6","39.1%"
"470","Oakland Athletics",".254",".316",".400",".716",".291","2.8%","19.2%","7.7%","27.1%","44.7%","18.6%","0.83","-7.8","-1.9%","-45.0",2015,"88.8","39.3%"
"471","Philadelphia Phillies",".280",".341",".445",".786",".319","3.0%","18.2%","7.7%","28.4%","44.0%","19.1%","0.82","-11.7","-1.4%","-154.6",2015,"89.2","39.9%"
"472","Pittsburgh Pirates",".248",".311",".361",".672",".305","1.8%","21.5%","7.3%","25.8%","50.3%","17.0%","1.06","15.3","8.2%","91.5",2015,"88.1","38.2%"
"473","San Diego Padres",".252",".321",".414",".735",".307","2.8%","22.9%","8.5%","27.2%","46.8%","18.2%","0.91","-3.3","-1.1%","-76.6",2015,"88.7","38.8%"
"474","Seattle Mariners",".256",".322",".412",".734",".300","2.9%","20.6%","7.9%","25.6%","46.2%","19.8%","0.89","-0.6","-0.4%","-39.1",2015,"88.9","39.1%"
"475","San Francisco Giants",".246",".305",".395",".700",".285","2.6%","19.4%","7.2%","26.9%","45.8%","19.1%","0.87","3.5","2.7%","42.4",2015,"88.8","38.9%"
"476","St. Louis Cardinals",".246",".310",".366",".676",".302","2.0%","21.7%","7.8%","24.6%","47.3%","19.1%","0.95","20.7","12.6%","157.0",2015,"88.0","37.1%"
"477","Tampa Bay Rays",".240",".304",".385",".689",".286","2.9%","22.3%","7.9%","24.8%","42.0%","24.0%","0.74","5.3","4.3%","47.4",2015,"89.4","40.7%"
"478","Texas Rangers",".262",".328",".419",".747",".296","2.8%","17.6%","8.2%","29.0%","44.6%","18.8%","0.82","3.4","5.5%","-20.1",2015,"88.9","39.0%"
"479","Toronto Blue Jays",".248",".304",".403",".707",".280","2.9%","18.7%","6.6%","25.8%","44.1%","21.0%","0.81","0.0","3.3%","38.8",2015,"88.4","37.4%"
"480","Washington Nationals",".250",".301",".384",".685",".304","2.4%","22.5%","6.1%","28.2%","44.5%","17.7%","0.84","1.5","-0.2%","35.8",2015,"87.8","37.1%"
"481","Arizona Diamondbacks",".275",".348",".454",".801",".323","3.1%","20.5%","9.4%","28.0%","45.7%","18.6%","0.87","-11.8","-2.0%","-142.3",2016,"89.6","42.5%"
"482","Atlanta Braves",".256",".328",".416",".744",".296","2.8%","19.6%","8.8%","25.4%","44.3%","21.7%","0.83","-2.9","-1.2%","-71.4",2016,"89.6","41.8%"
"483","Baltimore Orioles",".258",".328",".421",".750",".301","3.0%","20.4%","8.9%","25.3%","45.2%","20.8%","0.84","6.5","6.7%","17.3",2016,"89.1","40.0%"
"484","Boston Red Sox",".246",".314",".397",".711",".295","2.9%","22.4%","8.1%","23.0%","41.4%","25.8%","0.73","3.4","2.9%","54.7",2016,"88.5","37.8%"
"485","Chicago Cubs",".212",".285",".348",".633",".257","2.8%","24.3%","8.3%","25.5%","46.6%","19.8%","0.91","18.2","7.4%","169.6",2016,"88.8","38.7%"
"486","Chicago White Sox",".257",".326",".419",".746",".300","3.0%","20.5%","8.4%","26.2%","42.8%","22.3%","0.77","-1.2","-0.2%","3.7",2016,"88.9","38.1%"
"487","Cincinnati Reds",".263",".345",".456",".801",".294","4.1%","19.6%","10.0%","28.2%","41.5%","21.4%","0.73","-12.0","-2.7%","-138.1",2016,"88.6","39.1%"
